orig.ident	newCellType	Freq	sepa	Project	Total	TotalNumber	newTotal	Prop	Condition
PWH26D0	ILC1_NK	28	Dermis	AcuteWound	2427	353	2427	0.011536876802637	Skin
PWH26D1	ILC1_NK	16	Dermis	AcuteWound	1129	207	1129	0.0141718334809566	Wound1
PWH26D30	ILC1_NK	37	Dermis	AcuteWound	2061	392	2061	0.0179524502668607	Wound30
PWH26D7	ILC1_NK	59	Dermis	AcuteWound	2622	522	2622	0.0225019069412662	Wound7
PWH27D0	ILC1_NK	25	Dermis	AcuteWound	1607	205	1607	0.015556938394524	Skin
PWH27D1	ILC1_NK	50	Dermis	AcuteWound	1782	513	1782	0.0280583613916947	Wound1
PWH27D30	ILC1_NK	20	Dermis	AcuteWound	3282	230	3282	0.00609384521633151	Wound30
PWH27D7	ILC1_NK	62	Dermis	AcuteWound	4046	666	4046	0.0153237765694513	Wound7
PWH28D0	ILC1_NK	29	Dermis	AcuteWound	2182	336	2182	0.0132905591200733	Skin
PWH28D1	ILC1_NK	26	Dermis	AcuteWound	1044	279	1044	0.024904214559387	Wound1
PWH28D30	ILC1_NK	44	Dermis	AcuteWound	4246	521	4246	0.0103626943005181	Wound30
PWH28D7	ILC1_NK	114	Dermis	AcuteWound	3102	816	3102	0.0367504835589942	Wound7
VU1	ILC1_NK	93	Dermis	VU	4871	1493	1493	0.0622906898861353	VU
VU4	ILC1_NK	36	Dermis	VU	3599	548	548	0.0656934306569343	VU
VU5	ILC1_NK	24	Dermis	VU	1893	279	279	0.0860215053763441	VU
VU6	ILC1_NK	76	Dermis	VU	4361	1048	1048	0.0725190839694657	VU
DFU_H1	ILCs	17	Dermis	DFU	2096	444	444	0.0382882882882883	DFU_H
DFU_H2	ILCs	7	Dermis	DFU	3614	174	174	0.0402298850574713	DFU_H
DFU_H3	ILCs	17	Dermis	DFU	6808	308	308	0.0551948051948052	DFU_H
DFU_H4	ILCs	17	Dermis	DFU	1538	433	433	0.0392609699769053	DFU_H
DFU_H5	ILCs	5	Dermis	DFU	3089	95	95	0.0526315789473684	DFU_H
DFU_H6	ILCs	23	Dermis	DFU	2543	376	376	0.0611702127659575	DFU_H
DFU_H7	ILCs	17	Dermis	DFU	3763	386	386	0.0440414507772021	DFU_H
DFU_NH1	ILCs	10	Dermis	DFU	1978	398	398	0.0251256281407035	DFU_NH
DFU_NH2	ILCs	1	Dermis	DFU	3892	60	60	0.0166666666666667	DFU_NH
DFU_NH3	ILCs	117	Dermis	DFU	7100	1369	1369	0.085463842220599	DFU_NH
DFU_NH4	ILCs	6	Dermis	DFU	2272	65	65	0.0923076923076923	DFU_NH
H1	ILCs	41	Dermis	DFU	2644	556	556	0.0737410071942446	H
H2	ILCs	6	Dermis	DFU	2251	71	71	0.0845070422535211	H
